date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,outcome,days_ago,home_team_norm,away_team_norm
1940-06-07,Japan,Manchukuo,7,0,Friendly,Tokyo,Japan,False,H,0,31424,Japan,Manchukuo
1940-06-09,Japan,China,6,0,Friendly,Tokyo,Japan,False,H,0,31422,Japan,China
1940-06-16,Japan,Philippines,1,0,Friendly,Nishinomiya,Japan,False,H,0,31415,Japan,Philippines
1940-07-14,Germany,Romania,9,3,Friendly,Frankfurt,Germany,False,H,0,31387,Germany,Romania
1940-07-18,Estonia,Latvia,2,1,Friendly,Tallinn,Estonia,False,H,0,31383,Estonia,Latvia
1940-07-18,Uruguay,Argentina,3,0,Friendly,Montevideo,Uruguay,False,H,0,31383,Uruguay,Argentina
1940-08-11,Lithuania,Estonia,2,0,Friendly,Kaunas,Soviet Union,False,H,0,31359,Lithuania,Estonia
1940-08-15,Argentina,Uruguay,5,0,Friendly,Buenos Aires,Argentina,False,H,0,31355,Argentina,Uruguay
1940-08-29,Finland,Sweden,2,3,Friendly,Helsinki,Finland,False,A,2,31341,Finland,Sweden
1940-09-01,Germany,Finland,13,0,Friendly,Leipzig,Germany,False,H,0,31338,Germany,Finland
1940-09-06,Latvia,Lithuania,1,0,Baltic Cup,Riga,Soviet Union,False,H,0,31333,Latvia,Lithuania
1940-09-07,Estonia,Lithuania,1,1,Baltic Cup,Riga,Soviet Union,True,D,1,31332,Estonia,Lithuania
1940-09-08,Latvia,Estonia,2,2,Baltic Cup,Riga,Soviet Union,False,D,1,31331,Latvia,Estonia
1940-09-15,Slovakia,Germany,0,1,Friendly,Bratislava,Slovakia,False,A,2,31324,Slovakia,Germany
1940-09-22,Sweden,Finland,5,0,Friendly,Solna,Sweden,False,H,0,31317,Sweden,Finland
1940-09-22,Yugoslavia,Romania,1,2,Friendly,Belgrade,Yugoslavia,False,A,2,31317,Yugoslavia,Romania
1940-09-29,Hungary,Yugoslavia,0,0,Friendly,Budapest,Hungary,False,D,1,31310,Hungary,Yugoslavia
1940-10-06,Hungary,Germany,2,2,Friendly,Budapest,Hungary,False,D,1,31303,Hungary,Germany
1940-10-06,Sweden,Denmark,1,1,Friendly,Solna,Sweden,False,D,1,31303,Sweden,Denmark
1940-10-13,Lithuania,Latvia,4,3,Friendly,Kaunas,Soviet Union,False,H,0,31296,Lithuania,Latvia
1940-10-20,Denmark,Sweden,3,3,Friendly,Copenhagen,Denmark,False,D,1,31289,Denmark,Sweden
1940-10-20,Germany,Bulgaria,7,3,Friendly,Munich,Germany,False,H,0,31289,Germany,Bulgaria
1940-11-03,Yugoslavia,Germany,2,0,Friendly,Zagreb,Yugoslavia,False,H,0,31275,Yugoslavia,Germany
1940-11-12,Cuba,Puerto Rico,1,1,Friendly,Havana,Cuba,False,D,1,31266,Cuba,Puerto Rico
1940-11-17,Germany,Denmark,1,0,Friendly,Hamburg,Germany,False,H,0,31261,Germany,Denmark
1940-12-01,Italy,Hungary,1,1,Friendly,Genoa,Italy,False,D,1,31247,Italy,Hungary
1940-12-08,Croatia,Hungary,1,1,Friendly,Zagreb,Croatia,False,D,1,31240,Croatia,Hungary
1941-01-05,Chile,Argentina,1,2,Friendly,Santiago,Chile,False,A,2,31212,Chile,Argentina
1941-01-09,Chile,Argentina,2,5,Friendly,Santiago,Chile,False,A,2,31208,Chile,Argentina
1941-01-12,Portugal,Spain,2,2,Friendly,Lisbon,Portugal,False,D,1,31205,Portugal,Spain
1941-01-18,Curaçao,Aruba,4,0,Friendly,Willemstad,Curaçao,False,H,0,31199,Curaçao,Aruba
1941-01-19,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False,H,0,31198,Curaçao,Aruba
1941-01-19,Peru,Argentina,1,1,Friendly,Lima,Peru,False,D,1,31198,Peru,Argentina
1941-01-26,Peru,Argentina,1,1,Friendly,Lima,Peru,False,D,1,31191,Peru,Argentina
1941-01-29,Peru,Argentina,0,3,Friendly,Lima,Peru,False,A,2,31188,Peru,Argentina
1941-02-02,Chile,Ecuador,5,0,Copa América,Santiago,Chile,False,H,0,31184,Chile,Ecuador
1941-02-09,Chile,Peru,1,0,Copa América,Santiago,Chile,False,H,0,31177,Chile,Peru
1941-02-09,Ecuador,Uruguay,0,6,Copa América,Santiago,Chile,True,A,2,31177,Ecuador,Uruguay
1941-02-12,Argentina,Peru,2,1,Copa América,Santiago,Chile,True,H,0,31174,Argentina,Peru
1941-02-16,Argentina,Ecuador,6,1,Copa América,Santiago,Chile,True,H,0,31170,Argentina,Ecuador
1941-02-16,Chile,Uruguay,0,2,Copa América,Santiago,Chile,False,A,2,31170,Chile,Uruguay
1941-02-22,Guadeloupe,Martinique,1,2,Friendly,Basse-Terre,Guadeloupe,False,A,2,31164,Guadeloupe,Martinique
